;Extracto rico;Fe(III);nZVI rico;
Wavelength [nm];Absorbance;absorbance;absorbance;
634.000;1.214432;0.01057434;1.061981;
634.500;1.213074;0.01055908;1.087173;
635.000;1.21199;0.01055908;1.111145;
635.500;1.211044;0.01063538;1.137604;
636.000;1.210052;0.01063538;1.166092;
636.500;1.209045;0.0105896;1.196777;
637.000;1.208115;0.01055908;1.22876;
637.500;1.207123;0.01055908;1.265045;
638.000;1.206558;0.01057434;1.298813;
638.500;1.205994;0.01065063;1.334335;
639.000;1.205475;0.01065063;1.371536;
639.500;1.205109;0.01063538;1.410706;
640.000;1.204788;0.01065063;1.450195;
640.500;1.204727;0.01069641;1.491104;
641.000;1.204727;0.01068115;1.531998;
641.500;1.20462;0.01068115;1.574539;
642.000;1.204636;0.01068115;1.617294;
642.500;1.204865;0.01074219;1.661377;
643.000;1.205276;0.01069641;1.708389;
643.500;1.205856;0.01074219;1.755173;
644.000;1.20665;0.01077271;1.79863;
644.500;1.207397;0.01075745;1.841919;
645.000;1.208359;0.01075745;1.88446;
645.500;1.209381;0.01075745;1.927658;
646.000;1.210388;0.01081848;1.970596;
646.500;1.211502;0.01077271;2.015594;
647.000;1.212723;0.01083374;2.056595;
647.500;1.214111;0.01086426;2.094269;
648.000;1.215393;0.01091003;2.131439;
648.500;1.216843;0.01091003;2.171402;
649.000;1.218307;0.01092529;2.208542;
649.500;1.219681;0.01097107;2.243729;
650.000;1.22113;0.01098633;2.279663;
650.500;1.222626;0.01098633;2.312943;
651.000;1.223801;0.0110321;2.343811;
651.500;1.22522;0.01107788;2.374283;
652.000;1.226517;0.01107788;2.402969;
652.500;1.227753;0.01109314;2.432953;
653.000;1.229004;0.0111084;2.460861;
653.500;1.23024;0.01119995;2.488663;
654.000;1.231308;0.01124573;2.514496;
654.500;1.232117;0.01119995;2.538345;
655.000;1.233078;0.01124573;2.562546;
655.500;1.233841;0.01126099;2.584702;
656.000;1.234619;0.01135254;2.60611;
656.500;1.235458;0.0112915;2.625931;
657.000;1.236267;0.01130676;2.642807;
657.500;1.236771;0.0112915;2.658463;
658.000;1.237228;0.01132202;2.672089;
658.500;1.237579;0.01133728;2.684479;
659.000;1.237747;0.01141357;2.695282;
659.500;1.237808;0.01139832;2.704285;
660.000;1.2379;0.01141357;2.711884;
660.500;1.237869;0.01145935;2.717911;
661.000;1.237823;0.01147461;2.723083;
661.500;1.237564;0.01152039;2.726578;
662.000;1.237137;0.01158142;2.729721;
662.500;1.236465;0.01164246;2.731873;
663.000;1.235748;0.01168823;2.732697;
663.500;1.234985;0.01168823;2.733185;
664.000;1.233871;0.01168823;2.732819;
664.500;1.232697;0.01174927;2.731186;
665.000;1.231323;0.0118103;2.729248;
665.500;1.229584;0.01177979;2.725479;
666.000;1.227936;0.0118103;2.720627;
666.500;1.2258;0.01193237;2.714691;
667.000;1.223557;0.01200867;2.706833;
667.500;1.221375;0.01202393;2.696365;
668.000;1.219131;0.01211548;2.682587;
668.500;1.216797;0.01216125;2.665527;
669.000;1.214096;0.01225281;2.644516;
669.500;1.211456;0.01229858;2.617569;
670.000;1.208694;0.01234436;2.584305;
670.500;1.205673;0.01235962;2.542404;
671.000;1.202515;0.01243591;2.493317;
671.500;1.199387;0.01248169;2.434555;
672.000;1.196121;0.01252747;2.368088;
672.500;1.192749;0.01260376;2.293274;
673.000;1.189316;0.01268005;2.210724;
673.500;1.185654;0.01272583;2.11879;
674.000;1.182053;0.01275635;2.024841;
674.500;1.17836;0.01286316;1.927246;
675.000;1.174698;0.01293945;1.829544;
675.500;1.170914;0.01296997;1.731323;
676.000;1.167236;0.01301575;1.636871;
676.500;1.163361;0.01307678;1.540421;
677.000;1.15976;0.01312256;1.450592;
677.500;1.156097;0.01313782;1.363098;
678.000;1.152267;0.01318359;1.280472;
678.500;1.148315;0.01322937;1.20253;
679.000;1.144516;0.01329041;1.128265;
679.500;1.1409;0.01333618;1.057938;
680.000;1.137344;0.01342773;0.9930115;
680.500;1.133713;0.01345825;0.9305115;
681.000;1.130295;0.01353455;0.8764496;
681.500;1.126678;0.0135498;0.824585;
682.000;1.123199;0.01361084;0.7778473;
682.500;1.120041;0.01371765;0.7367249;
683.000;1.116684;0.01373291;0.6959534;
683.500;1.113205;0.01377869;0.6583099;
684.000;1.110062;0.01385498;0.6257019;
684.500;1.107086;0.01394653;0.5964966;
685.000;1.103912;0.01402283;0.5689392;
685.500;1.100876;0.01412964;0.5440369;
686.000;1.097916;0.0141449;0.522171;
686.500;1.095016;0.01416016;0.502533;
687.000;1.092148;0.01423645;0.484375;
687.500;1.089127;0.01434326;0.4673309;
688.000;1.086441;0.0144043;0.4531708;
688.500;1.083862;0.01452637;0.4404449;
689.000;1.081299;0.01455688;0.4286346;
689.500;1.078537;0.0145874;0.4176941;
690.000;1.07605;0.01460266;0.4071198;
690.500;1.0737;0.01463318;0.3983002;
691.000;1.071381;0.01470947;0.3905792;
691.500;1.068985;0.01475525;0.3833618;
692.000;1.066284;0.01480103;0.3762054;
692.500;1.06395;0.01490784;0.3703308;
693.000;1.061172;0.01495361;0.3648529;
693.500;1.058578;0.01495361;0.3594666;
694.000;1.056335;0.01498413;0.3549194;
694.500;1.054337;0.01507568;0.3508759;
695.000;1.051804;0.01507568;0.3466339;
695.500;1.049362;0.01513672;0.3429718;
696.000;1.04689;0.0151825;0.339386;
696.500;1.044403;0.01525879;0.3359375;
697.000;1.04184;0.01531982;0.3327637;
697.500;1.03952;0.01538086;0.3297882;
698.000;1.037109;0.01542664;0.3270264;
698.500;1.034561;0.01550293;0.3244934;
699.000;1.031937;0.01559448;0.3219757;
699.500;1.029358;0.01557922;0.3195648;
700.000;1.027115;0.01556396;0.3174744;
