;Extracto rico;Fe(III);nZVI rico;
Wavelength [nm];Absorbance;absorbance;absorbance;
378.500;2.591965;2.56987;2.57872;
379.000;2.612274;2.596024;2.577805;
379.500;2.598709;2.595367;2.588882;
380.000;2.5896;2.587494;2.582855;
380.500;2.596588;2.592377;2.571548;
381.000;2.606857;2.583038;2.574982;
381.500;2.594101;2.574722;2.585434;
382.000;2.591049;2.58493;2.584351;
382.500;2.594238;2.581528;2.574814;
383.000;2.600174;2.573288;2.578491;
383.500;2.590225;2.574707;2.579025;
384.000;2.598648;2.571945;2.583984;
384.500;2.601395;2.577881;2.579254;
385.000;2.587204;2.584351;2.593124;
385.500;2.587494;2.585999;2.58902;
386.000;2.587387;2.582199;2.573212;
386.500;2.595261;2.571869;2.580978;
387.000;2.589951;2.575607;2.567902;
387.500;2.587418;2.576172;2.572922;
388.000;2.59729;2.574936;2.5802;
388.500;2.594635;2.578995;2.585693;
389.000;2.585419;2.575775;2.574753;
389.500;2.589401;2.579666;2.577484;
390.000;2.592041;2.574249;2.56955;
390.500;2.601593;2.567596;2.569611;
391.000;2.596237;2.576508;2.572311;
391.500;2.581009;2.577789;2.574677;
392.000;2.590012;2.56781;2.577377;
392.500;2.591003;2.574661;2.576416;
393.000;2.599136;2.580368;2.574371;
393.500;2.597443;2.578003;2.578415;
394.000;2.594315;2.578598;2.57132;
394.500;2.600235;2.567841;2.576614;
395.000;2.589844;2.577057;2.571487;
395.500;2.590637;2.576599;2.569763;
396.000;2.59021;2.577393;2.567993;
396.500;2.590866;2.576599;2.570541;
397.000;2.59436;2.58313;2.56459;
397.500;2.594299;2.579605;2.569016;
398.000;2.590363;2.569656;2.579041;
398.500;2.59166;2.575653;2.576187;
399.000;2.594894;2.573059;2.572327;
399.500;2.59462;2.578308;2.569;
400.000;2.591766;2.574203;2.570755;
400.500;2.589279;2.578613;2.573166;
401.000;2.599167;2.575668;2.566376;
401.500;2.599319;2.57811;2.574448;
402.000;2.596069;2.582794;2.574234;
402.500;2.590149;2.579407;2.578033;
403.000;2.600006;2.580811;2.568192;
403.500;2.595932;2.584;2.570068;
404.000;2.594147;2.583786;2.569382;
404.500;2.596405;2.580154;2.575439;
405.000;2.596039;2.581924;2.577087;
405.500;2.595688;2.581116;2.574158;
406.000;2.59407;2.587341;2.577133;
406.500;2.601578;2.584549;2.583725;
407.000;2.598175;2.587952;2.575272;
407.500;2.604019;2.589447;2.580078;
408.000;2.594696;2.588364;2.575363;
408.500;2.597748;2.583313;2.581299;
409.000;2.599319;2.581696;2.581238;
409.500;2.59903;2.579361;2.574951;
410.000;2.600601;2.577072;2.577606;
410.500;2.597214;2.577789;2.579773;
411.000;2.60051;2.577927;2.573608;
411.500;2.600647;2.570633;2.580658;
412.000;2.599792;2.564133;2.58374;
412.500;2.601852;2.559204;2.584137;
413.000;2.599854;2.552567;2.579651;
413.500;2.602997;2.542953;2.580856;
414.000;2.611115;2.529404;2.590546;
414.500;2.600845;2.521988;2.590637;
415.000;2.601166;2.502686;2.588821;
415.500;2.603439;2.487534;2.58606;
416.000;2.606262;2.453232;2.584656;
416.500;2.608154;2.411728;2.58403;
417.000;2.610001;2.388016;2.588852;
417.500;2.612854;2.361618;2.589783;
418.000;2.611832;2.336777;2.587067;
418.500;2.612488;2.302673;2.587082;
419.000;2.606644;2.27243;2.58876;
419.500;2.60849;2.239334;2.588715;
420.000;2.610657;2.204803;2.588364;
420.500;2.61113;2.168777;2.591919;
421.000;2.614731;2.127228;2.59053;
421.500;2.609894;2.094025;2.588043;
422.000;2.607971;2.054962;2.590424;
422.500;2.612;2.017578;2.594849;
423.000;2.611572;1.97963;2.594635;
423.500;2.612122;1.937363;2.599182;
424.000;2.611008;1.900345;2.598892;
424.500;2.614853;1.861725;2.596085;
425.000;2.615768;1.825272;2.59613;
425.500;2.620575;1.790802;2.599182;
426.000;2.611526;1.753784;2.60112;
426.500;2.612625;1.719299;2.603882;
427.000;2.61377;1.68573;2.600937;
427.500;2.615005;1.651474;2.600403;
428.000;2.615189;1.618805;2.598541;
428.500;2.616409;1.588303;2.603134;
429.000;2.615448;1.557892;2.604355;
429.500;2.617126;1.525894;2.602875;
430.000;2.618423;1.494644;2.603012;
430.500;2.615097;1.465485;2.600891;
431.000;2.619705;1.436768;2.60463;
431.500;2.618164;1.409515;2.602295;
432.000;2.622742;1.382751;2.609009;
432.500;2.617859;1.356628;2.60759;
433.000;2.621796;1.330765;2.610672;
433.500;2.621994;1.306046;2.610153;
434.000;2.620743;1.28241;2.610901;
434.500;2.622177;1.259979;2.60939;
435.000;2.622162;1.237823;2.61171;
435.500;2.624008;1.215851;2.611343;
436.000;2.620224;1.194244;2.610458;
436.500;2.624176;1.173141;2.612015;
437.000;2.619751;1.152786;2.614014;
437.500;2.620453;1.132996;2.615921;
438.000;2.622345;1.114349;2.614212;
438.500;2.622391;1.097504;2.620285;
439.000;2.623489;1.078934;2.617752;
439.500;2.621246;1.060883;2.617783;
440.000;2.624359;1.043182;2.616257;
440.500;2.622452;1.027451;2.617722;
441.000;2.623322;1.011536;2.617462;
441.500;2.621353;0.9958649;2.615921;
442.000;2.621613;0.981308;2.62175;
442.500;2.620773;0.9671173;2.618195;
443.000;2.618454;0.952179;2.619873;
443.500;2.621796;0.9380035;2.622818;
444.000;2.618851;0.9245453;2.62085;
444.500;2.619202;0.9111938;2.623474;
445.000;2.619064;0.8988953;2.623856;
445.500;2.621353;0.8860779;2.624252;
446.000;2.621414;0.87323;2.623032;
446.500;2.621155;0.8612213;2.624969;
447.000;2.616928;0.8491516;2.625656;
447.500;2.616302;0.8368225;2.6315;
448.000;2.618988;0.8260651;2.625275;
448.500;2.616333;0.814621;2.627609;
449.000;2.617722;0.8031006;2.631516;
449.500;2.615662;0.7924042;2.630188;
450.000;2.613739;0.7814026;2.628326;
450.500;2.614014;0.7703552;2.629272;
451.000;2.611588;0.7601624;2.630646;
451.500;2.610168;0.7509003;2.63031;
452.000;2.605865;0.7410431;2.632385;
452.500;2.603806;0.7312622;2.629944;
453.000;2.604462;0.7214203;2.631714;
453.500;2.603302;0.7123413;2.631088;
454.000;2.597534;0.7033386;2.63147;
454.500;2.598923;0.6944275;2.630692;
455.000;2.596924;0.6857605;2.631012;
455.500;2.595337;0.6770782;2.636017;
456.000;2.59137;0.6685028;2.633896;
456.500;2.588379;0.6599884;2.630264;
457.000;2.587616;0.6515808;2.634369;
457.500;2.57959;0.6435089;2.635742;
458.000;2.581116;0.6357422;2.635437;
458.500;2.57605;0.6283112;2.63443;
459.000;2.573044;0.6209717;2.636688;
459.500;2.571075;0.613739;2.636642;
460.000;2.568649;0.6066589;2.635132;
460.500;2.563583;0.5988312;2.633163;
461.000;2.55899;0.5918884;2.636063;
461.500;2.556137;0.5850983;2.634766;
462.000;2.552536;0.578598;2.635788;
462.500;2.547333;0.5715942;2.637238;
463.000;2.543152;0.5648041;2.636002;
463.500;2.539566;0.5583038;2.632782;
464.000;2.533691;0.5516815;2.634949;
464.500;2.529129;0.5452728;2.635208;
465.000;2.523712;0.5393829;2.636017;
465.500;2.517136;0.5328674;2.632126;
466.000;2.512421;0.5269928;2.633499;
466.500;2.505066;0.5209503;2.631058;
467.000;2.49791;0.5150909;2.63208;
467.500;2.495621;0.5094452;2.628891;
468.000;2.488663;0.5037537;2.627365;
468.500;2.482666;0.4983826;2.627518;
469.000;2.476913;0.4928284;2.627701;
469.500;2.470078;0.4874725;2.625931;
470.000;2.462219;0.4817657;2.624054;
470.500;2.458588;0.4765778;2.62326;
471.000;2.450256;0.4711151;2.621445;
471.500;2.443756;0.4662323;2.616089;
472.000;2.438141;0.4610138;2.615463;
472.500;2.430893;0.4562531;2.614227;
473.000;2.422623;0.4510498;2.609207;
473.500;2.416779;0.4464111;2.605881;
474.000;2.408463;0.4415131;2.600998;
474.500;2.40181;0.4369965;2.598724;
475.000;2.39418;0.4322968;2.595856;
475.500;2.387115;0.427948;2.591614;
476.000;2.379272;0.4235535;2.587524;
476.500;2.372665;0.4189911;2.581863;
477.000;2.364227;0.4147797;2.574966;
477.500;2.356674;0.4104156;2.568161;
478.000;2.348663;0.4062653;2.557358;
478.500;2.342117;0.4023132;2.551056;
479.000;2.332672;0.3978729;2.540405;
479.500;2.325806;0.3937683;2.530579;
480.000;2.317871;0.3897552;2.518677;
480.500;2.309708;0.3858643;2.504776;
481.000;2.302475;0.3816376;2.490509;
481.500;2.294388;0.3778687;2.47406;
482.000;2.286621;0.374054;2.457367;
482.500;2.278351;0.3702545;2.443649;
483.000;2.27002;0.3665009;2.42395;
483.500;2.263153;0.3627625;2.404449;
484.000;2.254333;0.3591614;2.385971;
484.500;2.247513;0.3556061;2.365158;
485.000;2.239151;0.3519745;2.343689;
485.500;2.231354;0.3484192;2.323334;
486.000;2.223251;0.3448029;2.300964;
486.500;2.215942;0.3413239;2.278275;
487.000;2.208191;0.3379364;2.256424;
487.500;2.200836;0.3344574;2.235504;
488.000;2.192398;0.3309479;2.213318;
488.500;2.185165;0.3274994;2.191849;
489.000;2.176971;0.3240356;2.171432;
489.500;2.169296;0.3206329;2.151413;
490.000;2.162781;0.3175354;2.134491;
490.500;2.155289;0.3143921;2.117233;
491.000;2.14798;0.3111115;2.100693;
491.500;2.14035;0.3079376;2.085541;
492.000;2.133255;0.3047638;2.07077;
492.500;2.126114;0.301651;2.057251;
493.000;2.118347;0.2983246;2.043793;
493.500;2.111313;0.2952271;2.031708;
494.000;2.104446;0.2922821;2.020828;
494.500;2.097733;0.2892914;2.010132;
495.000;2.090652;0.2860565;1.998856;
495.500;2.083893;0.2828674;1.987869;
496.000;2.076538;0.279953;1.978302;
496.500;2.069824;0.2769012;1.968231;
497.000;2.062714;0.2737732;1.957779;
497.500;2.055984;0.2707672;1.947891;
498.000;2.049438;0.2679596;1.938889;
498.500;2.043091;0.2648926;1.929382;
499.000;2.036148;0.2617035;1.919434;
499.500;2.029007;0.2586212;1.910141;
500.000;2.022858;0.2557526;1.901489;
500.500;2.015945;0.2529449;1.893173;
501.000;2.00943;0.2500305;1.885086;
501.500;2.003357;0.2471008;1.876221;
502.000;1.996658;0.2441559;1.867874;
502.500;1.989716;0.2412262;1.859375;
503.000;1.983368;0.238266;1.850845;
503.500;1.977173;0.2354889;1.842514;
504.000;1.971649;0.2329559;1.834366;
504.500;1.966568;0.2301331;1.82486;
505.000;1.96048;0.2272339;1.813797;
505.500;1.953568;0.2241974;1.801666;
506.000;1.946945;0.2211456;1.787689;
506.500;1.941299;0.218399;1.773743;
507.000;1.935593;0.2157135;1.75824;
507.500;1.930084;0.213089;1.742188;
508.000;1.924362;0.2104034;1.724533;
508.500;1.918808;0.2077484;1.704849;
509.000;1.912674;0.2049713;1.682388;
509.500;1.906494;0.2021332;1.658234;
510.000;1.900894;0.1994934;1.634521;
510.500;1.895737;0.1969604;1.610962;
511.000;1.889603;0.1941528;1.58519;
511.500;1.884109;0.1915894;1.560349;
512.000;1.87851;0.1888733;1.534821;
512.500;1.872986;0.1860657;1.508652;
513.000;1.867371;0.1835022;1.484695;
513.500;1.861923;0.1808777;1.461029;
514.000;1.856735;0.1784363;1.43927;
514.500;1.851074;0.1758575;1.418304;
515.000;1.845627;0.1732788;1.398499;
515.500;1.839966;0.1706238;1.379471;
516.000;1.834274;0.1680145;1.362106;
516.500;1.829086;0.1654968;1.346115;
517.000;1.824326;0.1631927;1.332199;
517.500;1.819458;0.1607208;1.318741;
518.000;1.814636;0.1583862;1.306931;
518.500;1.809525;0.1560059;1.295822;
519.000;1.804398;0.153595;1.285782;
519.500;1.799377;0.1513062;1.277328;
520.000;1.79451;0.148941;1.269775;
520.500;1.789886;0.1466675;1.263672;
521.000;1.785049;0.1444244;1.258133;
521.500;1.780426;0.1421661;1.253555;
522.000;1.77565;0.1399231;1.250305;
522.500;1.770615;0.1376343;1.248245;
523.000;1.765991;0.135498;1.247391;
523.500;1.761383;0.1332703;1.247635;
524.000;1.756973;0.1312103;1.249054;
524.500;1.752625;0.1290588;1.251816;
525.000;1.748077;0.1269226;1.256058;
525.500;1.743698;0.1248474;1.261475;
526.000;1.739044;0.1227722;1.268814;
526.500;1.735138;0.1208649;1.277069;
527.000;1.731033;0.1189728;1.286865;
527.500;1.726715;0.1171417;1.297913;
528.000;1.722443;0.1152344;1.310303;
528.500;1.718414;0.1132355;1.323837;
529.000;1.714569;0.1113739;1.337753;
529.500;1.710373;0.1094055;1.353195;
530.000;1.706711;0.1075897;1.368103;
530.500;1.703064;0.105835;1.382813;
531.000;1.698761;0.1038818;1.398468;
531.500;1.694809;0.1021118;1.412094;
532.000;1.691238;0.1003265;1.42424;
532.500;1.687469;0.09863281;1.433853;
533.000;1.683716;0.09690857;1.441696;
533.500;1.680374;0.09524536;1.44696;
534.000;1.676605;0.09365845;1.44873;
534.500;1.673172;0.0920105;1.44722;
535.000;1.669418;0.09043884;1.442505;
535.500;1.665955;0.08888245;1.434464;
536.000;1.661697;0.08735657;1.421509;
536.500;1.65683;0.08583069;1.405151;
537.000;1.653336;0.08430481;1.387741;
537.500;1.649658;0.08283997;1.367493;
538.000;1.646011;0.08131409;1.345093;
538.500;1.642227;0.07989502;1.321411;
539.000;1.63858;0.07849121;1.296616;
539.500;1.635132;0.0771637;1.271179;
540.000;1.631897;0.07575989;1.245377;
540.500;1.628632;0.07441711;1.219391;
